2025-11-16T14:59:01.000000000Z [inf]  Starting Container
2025-11-16T15:34:00.816347523Z [inf]  🔄 Running Magento extension detection...
2025-11-16T15:34:00.818559662Z [inf]  🔍 Analyzing Magento extensions...
2025-11-16T15:34:00.820753925Z [inf]  📊 Magento extension analysis complete: 2 extensions detected
2025-11-16T15:34:00.820763657Z [inf]  ✅ Magento extension detection complete: 2 extensions detected
2025-11-16T15:34:00.820769847Z [inf]  ✅ Used Direct Website Analysis + DNS-based Hosting Detection
2025-11-16T15:34:00.820777613Z [inf]  📊 CMS DETECTION RESULT: "Magento" (from analyzeHTMLAndHeaders)
2025-11-16T15:34:00.820783718Z [inf]  🔍 Applied DNS hosting detection: Rackspace Ltd. (ip-asn, medium confidence)
2025-11-16T15:34:00.820790086Z [inf]  ✅ Technology stack detection completed
2025-11-16T15:34:00.906788246Z [inf]  ✅ HTML content fetched for Claude analysis
2025-11-16T15:34:00.906796863Z [inf]  ⏭️  Skipping WordPress plugin detection - CMS is Magento
2025-11-16T15:34:00.906803291Z [inf]  🚀 Running enhanced PageSpeed analysis with Claude...
2025-11-16T15:34:00.906809101Z [inf]  🚀 Starting enhanced PageSpeed analysis with Claude for https://henryadams.co.uk
2025-11-16T15:34:00.906814240Z [inf]  🔍 Analyzing real PageSpeed data for: https://henryadams.co.uk
2025-11-16T15:34:00.909597664Z [inf]  ⚠️ No API key found, using free tier limits
2025-11-16T15:34:00.909610659Z [inf]  ⚠️ No API key found, using free tier limits
2025-11-16T15:34:00.950949990Z [err]  PageSpeed API Error Details: {
2025-11-16T15:34:00.950959790Z [err]    status: 429,
2025-11-16T15:34:00.950966206Z [err]    statusText: 'Too Many Requests',
2025-11-16T15:34:00.950971861Z [err]    url: 'https://www.googleapis.com/pagespeedonline/v5/runPagespeed?url=https%3A%2F%2Fhenryadams.co.uk&strategy=mobile&category=performance',
2025-11-16T15:34:00.950978046Z [err]    response: '{\n' +
2025-11-16T15:34:00.950983639Z [err]      '  "error": {\n' +
2025-11-16T15:34:00.950991697Z [err]      '    "code": 429,\n' +
2025-11-16T15:34:00.950998995Z [err]      `    "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:34:00.951004804Z [err]      '    "errors": [\n' +
2025-11-16T15:34:00.951011142Z [err]      '      {\n' +
2025-11-16T15:34:00.951015713Z [err]      `        "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:34:00.951022193Z [err]      '        "domain": "global",\n' +
2025-11-16T15:34:00.951029364Z [err]      '        "reason": "rateLimitExceeded"\n' +
2025-11-16T15:34:00.951037240Z [err]      '      }\n' +
2025-11-16T15:34:00.951043568Z [err]      '    ],\n' +
2025-11-16T15:34:00.951049808Z [err]      '    "st'
2025-11-16T15:34:00.951055980Z [err]  }
2025-11-16T15:34:00.951065560Z [err]  PageSpeed Insights API error: Error: PageSpeed API error: 429 - Too Many Requests
2025-11-16T15:34:00.951071614Z [err]      at n.runPageSpeedAnalysis (.next/server/chunks/5955.js:242:4349)
2025-11-16T15:34:00.951078249Z [err]      at async n.analyzePerformance (.next/server/chunks/5955.js:242:2987)
2025-11-16T15:34:00.951084360Z [err]      at async o (.next/server/chunks/5955.js:242:7336)
2025-11-16T15:34:00.952886986Z [err]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:8281)
2025-11-16T15:34:00.952900320Z [inf]  📄 Falling back to web scraping PageSpeed Insights
2025-11-16T15:34:00.952907108Z [inf]  🧠 Running Claude AI analyses...
2025-11-16T15:34:00.952912352Z [inf]  🧠 Analyzing performance with Claude for https://henryadams.co.uk
2025-11-16T15:34:00.952917721Z [inf]  🔍 Analyzing Technical SEO with Claude for https://henryadams.co.uk
2025-11-16T15:34:00.952923528Z [inf]  🖼️ Analyzing image optimization with Claude for https://henryadams.co.uk
2025-11-16T15:34:01.470853431Z [err]  }
2025-11-16T15:34:01.470950757Z [err]  PageSpeed API Error Details: {
2025-11-16T15:34:01.470955700Z [err]    status: 429,
2025-11-16T15:34:01.470961515Z [err]    statusText: 'Too Many Requests',
2025-11-16T15:34:01.470967108Z [err]    url: 'https://www.googleapis.com/pagespeedonline/v5/runPagespeed?url=https%3A%2F%2Fhenryadams.co.uk&strategy=desktop&category=performance',
2025-11-16T15:34:01.470971943Z [err]    response: '{\n' +
2025-11-16T15:34:01.470976894Z [err]      '  "error": {\n' +
2025-11-16T15:34:01.470981716Z [err]      '    "code": 429,\n' +
2025-11-16T15:34:01.470987424Z [err]      `    "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:34:01.470994976Z [err]      '    "errors": [\n' +
2025-11-16T15:34:01.470999835Z [err]      '      {\n' +
2025-11-16T15:34:01.471005641Z [err]      `        "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:34:01.471023991Z [err]      '        "domain": "global",\n' +
2025-11-16T15:34:01.471029994Z [err]      '        "reason": "rateLimitExceeded"\n' +
2025-11-16T15:34:01.471034425Z [err]      '      }\n' +
2025-11-16T15:34:01.471040271Z [err]      '    ],\n' +
2025-11-16T15:34:01.471045099Z [err]      '    "st'
2025-11-16T15:34:10.845177418Z [err]  Failed to parse Claude image optimization response: SyntaxError: Unexpected token l in JSON at position 3132
2025-11-16T15:34:10.845187987Z [err]      at JSON.parse (<anonymous>)
2025-11-16T15:34:10.845194924Z [err]      at l (.next/server/chunks/5955.js:242:580)
2025-11-16T15:34:10.845201085Z [err]      at async o (.next/server/chunks/5955.js:242:7425)
2025-11-16T15:34:10.845206704Z [err]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:8281)
2025-11-16T15:34:10.845212576Z [inf]  📄 Raw response length: 5823 chars
2025-11-16T15:34:10.845218489Z [inf]  📄 First 500 chars: {
2025-11-16T15:34:10.845223693Z [inf]    "overallScore": 65,
2025-11-16T15:34:10.845229037Z [inf]    "optimizationPotential": "medium",
2025-11-16T15:34:10.845234673Z [inf]    "estimatedSavings": {
2025-11-16T15:34:10.845239413Z [inf]      "totalSizeReduction": "1.2 MB",
2025-11-16T15:34:10.845245540Z [inf]      "loadTimeImprovement": "0.6 seconds",
2025-11-16T15:34:10.845283529Z [inf]      "bandwidthSavings": "25% reduction"
2025-11-16T15:34:10.845290029Z [inf]    },
2025-11-16T15:34:10.845295134Z [inf]    "imageAnalysis": {
2025-11-16T15:34:10.845300444Z [inf]      "totalImages": 116,
2025-11-16T15:34:10.845305571Z [inf]      "largeImages": 0,
2025-11-16T15:34:10.845310897Z [inf]      "averageSize": 0,
2025-11-16T15:34:10.845316389Z [inf]      "formatDistribution": {
2025-11-16T15:34:10.845321287Z [inf]        "jpg": 60,
2025-11-16T15:34:10.845326330Z [inf]        "png": 30,
2025-11-16T15:34:10.845334829Z [inf]        "gif": 5,
2025-11-16T15:34:10.845340427Z [inf]        "svg": 5
2025-11-16T15:34:10.845345624Z [inf]      },
2025-11-16T15:34:10.845350365Z [inf]      "contextuallyImportant": 15
2025-11-16T15:34:10.845356084Z [inf]    },
2025-11-16T15:34:10.845360707Z [inf]    "recommendations": [
2025-11-16T15:34:10.845365535Z [inf]      {
2025-11-16T15:34:10.845819427Z [inf]        "category": "format",
2025-11-16T15:34:10.845824505Z [inf]        "pr
2025-11-16T15:34:10.845829453Z [inf]  📄 Last 200 chars: s": ["Sign up for a CDN service like Cloudflare or Amazon CloudFront", "Update your image URLs to point to the CDN domain", "Configure caching and other CDN settings to optimize image delivery"]
2025-11-16T15:34:10.845833818Z [inf]    }
2025-11-16T15:34:10.845838484Z [inf]  }
2025-11-16T15:34:12.597908849Z [inf]  ✅ Claude Technical SEO analysis complete for https://henryadams.co.uk
2025-11-16T15:34:14.801912549Z [inf]  ✅ Claude performance analysis complete for https://henryadams.co.uk
2025-11-16T15:34:14.801927395Z [inf]  ✅ Claude AI analyses complete for https://henryadams.co.uk
2025-11-16T15:34:14.801935895Z [inf]  ✅ Preserved CMS (Magento) and 0 plugins in performance results
2025-11-16T15:34:14.801945621Z [inf]  ✅ Preserved technical issues in results: {"missingMetaTitles":0,"missingMetaDescriptions":0,"missingH1Tags":0,"httpErrors":0,"shortTitles":0,"longTitles":0,"invalidStructuredData":0,"lowTextHtmlRatio":1,"unminifiedFiles":12,"missingLlmsTxt":1}
2025-11-16T15:34:14.801953763Z [inf]  🧠 Running Claude technology intelligence analysis...
2025-11-16T15:34:14.801961383Z [inf]  🧠 Analyzing technology stack with Claude for https://henryadams.co.uk
2025-11-16T15:34:34.800203532Z [inf]  ✅ Claude technology analysis complete for https://henryadams.co.uk
2025-11-16T15:34:34.800214044Z [inf]  ✅ Claude technology analysis completed
2025-11-16T15:34:34.800220797Z [inf]  🎯 Running universal performance & conversion analysis...
2025-11-16T15:34:34.800225717Z [inf]  ✅ Universal performance analysis completed: Conversion Score 51/100, 8 issues found
2025-11-16T15:34:34.800230790Z [inf]  📱 Viewport analysis skipped (disabled for memory optimization)
2025-11-16T15:34:34.800236936Z [inf]  💾 [After performance] Memory: 89MB used / 124MB total
2025-11-16T15:34:34.800242119Z [inf]  ✅ Completed section 1/1: performance
2025-11-16T15:34:34.800247077Z [inf]  💾 [All Sections Complete] Memory: 89MB used / 124MB total
2025-11-16T15:34:34.800252176Z [inf]  📊 Usage metrics: 0.95 browser minutes
2025-11-16T15:37:26.818570860Z [inf]  🔍 Getting domain authority for: henryadams.co.uk
2025-11-16T15:37:26.818584028Z [inf]  ✅ Using cached tech detection for: https://henryadams.co.uk
2025-11-16T15:37:26.818592508Z [inf]  ✅ Domain authority retrieved: 3.23/10 (rank: 6103377)
2025-11-16T15:38:06.482873186Z [inf]  📊 Audit configuration: maxPages=250, smartSampling=true, scope=single
2025-11-16T15:38:09.147806701Z [inf]  💾 [Audit Start] Memory: 103MB used / 106MB total
2025-11-16T15:38:09.147813809Z [inf]  Processing section 1/1: performance
2025-11-16T15:38:09.147820136Z [inf]  🔧 Running technical audit...
2025-11-16T15:38:09.147825779Z [inf]  🔧 Starting technical audit for https://henryadams.co.uk (scope: single)
2025-11-16T15:38:09.147832796Z [inf]  🤖 Checking robots.txt compliance for https://henryadams.co.uk
2025-11-16T15:38:09.147838650Z [inf]  🌐 Fetching main page with browser rendering: https://henryadams.co.uk
2025-11-16T15:38:29.142049653Z [inf]  📸 Captured 43 images from browser network activity
2025-11-16T15:38:29.142064880Z [inf]  📍 Final URL after redirects: https://www.henryadams.co.uk/
2025-11-16T15:38:29.142075758Z [inf]  🔍 Validating structured data...
2025-11-16T15:38:29.142092795Z [inf]  📊 Structured data: 0 items found, 0 invalid
2025-11-16T15:38:29.142100046Z [inf]  📊 Image analysis: 26 from browser, 0 fetched, 26 total
2025-11-16T15:38:34.210896803Z [inf]  ✓ Robots.txt found at https://henryadams.co.uk/robots.txt
2025-11-16T15:38:34.210902648Z [inf]  🔍 Single page audit - analyzing main URL only
2025-11-16T15:38:34.210909963Z [inf]  📊 Analyzing Core Web Vitals for all discovered pages...
2025-11-16T15:38:34.210920713Z [inf]  ⚡ Processing pages in parallel (3 at a time)
2025-11-16T15:38:34.210927057Z [inf]  ✅ Cache HIT: https://henryadams.co.uk
2025-11-16T15:38:34.210933470Z [inf]  ⚡ Using cached data for https://henryadams.co.uk
2025-11-16T15:38:34.210939433Z [inf]  📊 Calculating aggregate performance metrics...
2025-11-16T15:38:34.210945998Z [inf]  ✅ Aggregate metrics calculated from 1 pages
2025-11-16T15:38:34.210952332Z [inf]  📊 Analyzing text-to-HTML ratio...
2025-11-16T15:38:34.210960791Z [inf]  📈 Text-to-HTML ratio: 1/1 pages have low ratio
2025-11-16T15:38:34.210968934Z [inf]  🖼️ Analyzing images across discovered pages...
2025-11-16T15:38:34.210974193Z [inf]  📊 Analyzing images on 0 pages (scope: single, limit: 0)
2025-11-16T15:38:34.210979396Z [inf]  ⚡ Analyzing images on 0 pages in parallel
2025-11-16T15:38:34.210983962Z [inf]  📸 Found 0 images using legacy formats
2025-11-16T15:38:34.210988486Z [inf]  📦 Detecting unminified JavaScript and CSS files...
2025-11-16T15:38:34.210995428Z [inf]  🔍 Scanning for unminified JS/CSS files on https://henryadams.co.uk
2025-11-16T15:38:34.211005572Z [inf]  Found 30 JavaScript files and 13 CSS files
2025-11-16T15:38:34.452897655Z [inf]  Could not analyze file https://secure.hiss3lark.com/js/178675.js: TypeError: fetch failed
2025-11-16T15:38:34.452906267Z [inf]      at async p (.next/server/chunks/6011.js:1:11399)
2025-11-16T15:38:34.452913078Z [inf]      at async q (.next/server/chunks/6011.js:1:13255)
2025-11-16T15:38:34.452918906Z [inf]      at async u (.next/server/chunks/6011.js:1:25674)
2025-11-16T15:38:34.452924413Z [inf]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:6307) {
2025-11-16T15:38:34.452930317Z [inf]    [cause]: [Error: unable to verify the first certificate] {
2025-11-16T15:38:34.452936369Z [inf]      code: 'UNABLE_TO_VERIFY_LEAF_SIGNATURE'
2025-11-16T15:38:34.452981035Z [inf]    }
2025-11-16T15:38:34.452988311Z [inf]  }
2025-11-16T15:38:35.095134760Z [inf]  ✅ Found 5 unminified JavaScript files and 7 unminified CSS files
2025-11-16T15:38:35.095141802Z [inf]  ⚠️  Found 12 unminified files:
2025-11-16T15:38:35.095148809Z [inf]     - 5 JavaScript files
2025-11-16T15:38:35.095155812Z [inf]     - 7 CSS files
2025-11-16T15:38:35.095162240Z [inf]  📱 Analyzing viewport responsiveness...
2025-11-16T15:38:35.095168789Z [inf]  🖥️ Starting viewport responsiveness analysis for: https://henryadams.co.uk
2025-11-16T15:38:35.095176254Z [inf]  📱 Analyzing Desktop Standard (1920x1080)
2025-11-16T15:38:35.095187717Z [inf]  📱 Analyzing Laptop (1440x900)
2025-11-16T15:38:35.095195611Z [inf]  📱 Analyzing Tablet Portrait (768x1024)
